City,Monthly Average pm10,Monthly Average pm2.5,Monthly Average carbon_monoxide,Monthly Average nitrogen_dioxide,Monthly Average sulphur_dioxide,Monthly Average ozone,Monthly Average dust,Monthly Average uv_index,Monthly Average ammonia
Manchester,16.32365608215332 15.869047164916992 12.85013484954834 16.67180633544922 13.806854248046875 12.18305492401123 8.104703903198242 9.57849407196045 17.15999984741211 14.018951416015625 13.851944923400879 12.71236515045166,6.469623565673828 6.617857456207275 5.871774196624756 9.842361450195312 10.404973030090332 10.280416488647461 6.154435157775879 6.641263484954834 11.840277671813965 7.279300689697266 5.604305744171143 6.680107593536377,209.69488525390625 198.07440185546875 181.2069854736328 182.00694274902344 157.90859985351562 146.89166259765625 147.28762817382812 176.83871459960938 222.77499389648438 223.66128540039062 218.5625 191.43414306640625,23.656719207763672 22.558481216430664 18.733198165893555 17.107500076293945 16.267606735229492 13.072778701782227 10.643951416015625 13.914247512817383 18.00458335876465 21.154300689697266 22.161943435668945 15.767339706420898,4.177150726318359 3.603794574737549 2.9052419662475586 2.746805429458618 2.2224462032318115 1.8761111497879028 1.2482527494430542 1.427016019821167 2.324166774749756 2.908602237701416 3.5822222232818604 2.9733870029449463,42.7634391784668 49.94643020629883 59.79301071166992 61.82222366333008 57.91801071166992 65.69583129882812 47.8763427734375 47.69892501831055 52.14583206176758 37.6142463684082 37.670833587646484 49.59005355834961,0.0 0.1979166716337204 0.004032257944345474 0.06388889253139496 0.0 0.09166666865348816 0.05510752648115158 0.029569892212748528 1.0333333015441895 1.298387050628662 0.0555555559694767 0.004032257944345474,0.0635080635547638 0.14940476417541504 0.29442206025123596 0.6189583539962769 1.08319890499115 1.356041669845581 1.0 0.9075269103050232 0.6228472590446472 0.2564516067504883 0.09055554866790771 0.044825270771980286,nan 2.188636302947998 3.06290340423584 2.697499990463257 1.716666579246521 1.8755556344985962 1.3548387289047241 1.7760752439498901 2.320972204208374 1.834811806678772 1.8930555582046509 1.1967742443084717
Brussels,15.205375671386719 22.03407859802246 14.41263484954834 17.683055877685547 16.920833587646484 12.877361297607422 9.34999942779541 13.058601379394531 15.699999809265137 13.810483932495117 11.616528511047363 13.464247703552246,7.657392501831055 12.566816329956055 8.801612854003906 11.981111526489258 13.331048011779785 15.17638874053955 9.332123756408691 11.059946060180664 11.464445114135742 7.654704570770264 5.906110763549805 8.378629684448242,196.55914306640625 226.66220092773438 182.6760711669922 183.41806030273438 165.68548583984375 157.5527801513672 148.76075744628906 189.33737182617188 217.93055725097656 202.28359985351562 201.125 204.00807189941406,21.43313217163086 29.667634963989258 21.073118209838867 20.556249618530273 20.180644989013672 16.188610076904297 10.731183052062988 17.905376434326172 22.900833129882812 17.933467864990234 18.0575008392334 16.334274291992188,3.8003358840942383 4.595907688140869 3.0038976669311523 3.2379167079925537 2.8299732208251953 1.9452776908874512 0.9538978934288025 1.6514784097671509 2.0968055725097656 2.322983980178833 1.9387500286102295 1.3599462509155273,39.7620964050293 35.925594329833984 53.625 56.36249923706055 57.475807189941406 71.68194580078125 56.98521423339844 54.334678649902344 52.858333587646484 45.86559295654297 40.698612213134766 43.087364196777344,0.2405913919210434 0.1770833283662796 0.1478494554758072 0.08194444328546524 0.11693548411130905 0.20555555820465088 0.13709677755832672 0.2795698940753937 1.100000023841858 1.9865591526031494 0.04722222313284874 0.017473118379712105,0.07385753095149994 0.20803572237491608 0.34327957034111023 0.6740277409553528 1.1754704713821411 1.5415278673171997 1.2238575220108032 1.126545786857605 0.8670833110809326 0.3620295822620392 0.10756944119930267 0.058467742055654526,nan 3.7554924488067627 5.5723114013671875 4.231944561004639 2.7981183528900146 3.2763888835906982 1.89838707447052 3.0712366104125977 3.7901387214660645 2.06290340423584 1.6183332204818726 1.2463709115982056
Pune,81.9399185180664 59.915771484375 64.96209716796875 53.8305549621582 42.44139862060547 20.655555725097656 6.382526874542236 16.700538635253906 19.884584426879883 68.511962890625 61.473609924316406 53.9629020690918,56.50645446777344 41.56086349487305 43.65470504760742 36.08652877807617 26.790456771850586 11.168334007263184 3.6666667461395264 8.514784812927246 11.925277709960938 41.04986572265625 39.209720611572266 35.589786529541016,604.5591430664062 502.68304443359375 493.6666564941406 447.9125061035156 304.43145751953125 161.64305114746094 125.86021423339844 132.7432861328125 191.5 421.1007995605469 456.1097106933594 456.0403137207031,19.59744644165039 17.592485427856445 16.717069625854492 16.940555572509766 12.144355773925781 7.165416717529297 5.42405891418457 5.815860271453857 7.887639045715332 15.968414306640625 15.773472785949707 13.420026779174805,25.788440704345703 18.25200843811035 16.661962509155273 16.074583053588867 17.245296478271484 6.675278186798096 3.8474462032318115 4.932795524597168 7.150833606719971 12.008333206176758 10.514444351196289 10.473790168762207,99.43144989013672 102.5610122680664 103.95698547363281 106.62083435058594 100.6491928100586 56.47638702392578 41.10887145996094 41.67473220825195 52.15972137451172 87.76747131347656 84.05000305175781 85.57929992675781,0.7083333134651184 0.6235119104385376 4.73118257522583 4.455555438995361 7.209677219390869 11.640277862548828 3.4099462032318115 12.108870506286621 7.991666793823242 12.442204475402832 0.8430555462837219 0.1760752648115158,1.3692876100540161 1.985119104385376 2.003024101257324 2.0506248474121094 2.2058467864990234 1.9845833778381348 1.158400535583496 1.7043683528900146 1.4815971851348877 1.5967742204666138 1.3825000524520874 1.326948881149292,nan nan nan nan nan nan nan nan nan nan nan nan
Pretoria,24.214920043945312 27.336605072021484 26.063844680786133 38.385555267333984 35.821102142333984 46.95402526855469 38.48575210571289 29.023788452148438 22.43777847290039 19.971908569335938 19.34194564819336 15.204704284667969,16.74919319152832 18.93735122680664 17.96290397644043 26.671388626098633 24.888307571411133 32.67555618286133 26.716665267944336 20.10577964782715 15.531388282775879 13.83561897277832 13.404027938842773 10.38655948638916,322.94488525390625 326.0238037109375 337.4677429199219 447.8638916015625 516.9825439453125 499.5583190917969 687.271484375 472.6048278808594 344.8680419921875 271.68145751953125 273.33612060546875 206.6962432861328,23.106182098388672 27.10379409790039 24.15766143798828 29.29305648803711 28.81572723388672 21.50583267211914 22.975000381469727 16.9801082611084 10.042222023010254 10.058198928833008 9.57902717590332 6.317473411560059,20.06108856201172 28.22678565979004 21.49126434326172 24.194305419921875 21.834138870239258 33.655418395996094 42.27607727050781 26.563575744628906 15.15250015258789 17.990859985351562 15.385832786560059 12.680241584777832,65.61289978027344 52.3913688659668 55.494625091552734 59.07083511352539 50.40322494506836 57.405555725097656 58.942203521728516 74.91532135009766 87.93055725097656 87.30510711669922 80.69999694824219 80.76344299316406,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0055555556900799274 0.0,2.873387098312378 2.3248512744903564 2.195631742477417 1.7025693655014038 1.114986538887024 0.9956944584846497 1.0366935729980469 1.4124327898025513 1.9368056058883667 2.229771375656128 2.681527614593506 2.7802419662475586,nan nan nan nan nan nan nan nan nan nan nan nan
Los Angeles,37.552555084228516 37.15639877319336 34.998252868652344 41.009029388427734 21.886425018310547 19.967082977294922 27.292070388793945 25.57876205444336 26.032638549804688 26.75981330871582 24.52138900756836 25.973522186279297,25.488574981689453 25.206100463867188 23.321640014648438 27.39986228942871 14.028225898742676 12.639721870422363 17.234004974365234 16.61155891418457 16.751251220703125 17.689247131347656 16.539445877075195 17.475000381469727,571.59814453125 537.8303833007812 488.5161437988281 538.5055541992188 261.4744567871094 234.30555725097656 243.26075744628906 281.8588562011719 295.39166259765625 373.2432861328125 398.897216796875 418.7513427734375,63.74455642700195 65.56146240234375 62.43978500366211 71.37333679199219 36.307796478271484 31.81569480895996 40.12983703613281 40.140052795410156 38.59166717529297 46.752689361572266 48.041114807128906 47.76948928833008,9.173656463623047 11.09754467010498 9.391935348510742 11.474721908569336 8.30282211303711 8.515694618225098 9.669488906860352 7.612903118133545 9.25027847290039 8.71088695526123 10.001250267028809 9.991801261901855,28.408601760864258 41.50297546386719 40.51881790161133 81.74583435058594 79.2298355102539 72.29027557373047 54.47177505493164 49.2392463684082 44.97638702392578 38.067203521728516 28.67361068725586 17.245967864990234,0.022849462926387787 0.03125 0.012096773833036423 0.06388889253139496 0.07258064299821854 0.8305555582046509 4.071236610412598 2.759408712387085 2.637500047683716 1.5994623899459839 0.5263888835906982 0.3978494703769684,0.4569220542907715 0.6973958015441895 0.9807124137878418 1.6293054819107056 1.6772849559783936 1.858610987663269 2.7784945964813232 2.3118951320648193 1.484861135482788 1.220900535583496 0.7440972328186035 0.4509408473968506,nan nan nan nan nan nan nan nan nan nan nan nan
Barcelona,22.348655700683594 29.322769165039062 21.7432804107666 21.35124969482422 20.573118209838867 22.728055953979492 25.246505737304688 22.402687072753906 21.036388397216797 21.489517211914062 16.672361373901367 22.888978958129883,10.421908378601074 15.894047737121582 12.130242347717285 12.730138778686523 16.133466720581055 14.657638549804688 13.823119163513184 12.690321922302246 11.27750015258789 10.479838371276855 8.308472633361816 17.073253631591797,218.56854248046875 233.40625 174.81317138671875 171.05416870117188 166.40188598632812 154.85556030273438 152.27957153320312 167.02688598632812 189.897216796875 182.24058532714844 192.56527709960938 215.01747131347656,34.812904357910156 40.95565414428711 33.26034927368164 36.19319534301758 35.564918518066406 36.5573616027832 31.5677433013916 30.42876434326172 35.213470458984375 32.83803939819336 31.55875015258789 36.70886993408203,8.157997131347656 9.140029907226562 7.490457057952881 8.888750076293945 8.016398429870605 8.289443969726562 7.0853495597839355 6.623252868652344 7.149860858917236 6.911559581756592 6.9259724617004395 8.04758071899414,29.935483932495117 38.831844329833984 50.0134391784668 53.63055419921875 56.97446060180664 63.266666412353516 58.39516067504883 65.55376434326172 56.85138702392578 48.86559295654297 32.79305648803711 23.485214233398438,0.6061828136444092 1.4821428060531616 0.2634408473968506 0.4763889014720917 2.0833332538604736 2.450000047683716 6.762096881866455 3.110214948654175 2.273611068725586 2.221774101257324 0.3152777850627899 0.2271505445241928,0.29200267791748047 0.5151785612106323 1.0224462747573853 1.4997916221618652 1.5881719589233398 1.872499942779541 2.114516019821167 1.8463709354400635 1.3169444799423218 0.7911962866783142 0.4074305593967438 0.29032257199287415,nan 4.439488887786865 4.909005641937256 4.613194465637207 3.316801071166992 2.7362499237060547 3.581989288330078 3.577688217163086 4.552917003631592 2.8961021900177 3.8569445610046387 5.277285099029541
Limassol,14.130645751953125 12.531846046447754 18.828495025634766 17.08277702331543 19.291128158569336 18.790416717529297 14.888843536376953 20.3177433013916 18.199583053588867 20.925403594970703 18.22861099243164 14.279838562011719,11.245833396911621 10.938542366027832 11.552285194396973 11.04513931274414 13.274462699890137 10.830694198608398 9.419488906860352 10.97392463684082 9.025694847106934 11.393951416015625 12.717499732971191 8.458064079284668,137.10752868652344 144.83035278320312 131.38844299316406 126.14583587646484 118.00672149658203 119.00971984863281 135.44488525390625 139.71908569335938 140.75555419921875 140.74192810058594 136.3986053466797 145.52554321289062,8.022513389587402 7.7274556159973145 8.68709659576416 7.650278091430664 8.821371078491211 8.50694465637207 8.905645370483398 8.904838562011719 10.021111488342285 11.768951416015625 9.23638916015625 7.261021614074707,5.610416412353516 3.871800661087036 3.209408760070801 2.9051387310028076 3.2213709354400635 2.682500123977661 2.730645179748535 3.3658602237701416 3.2227776050567627 4.36774206161499 3.494027614593506 3.372983932495117,73.13844299316406 82.46131134033203 82.23655700683594 86.60694122314453 81.54570007324219 82.2125015258789 86.56317138671875 86.375 79.2611083984375 74.38172149658203 65.93472290039062 64.2258071899414,2.088709592819214 1.6354166269302368 6.017473220825195 5.090277671813965 7.084677219390869 5.181944370269775 2.6263442039489746 3.618279457092285 6.188889026641846 7.392473220825195 7.0097222328186035 4.01881742477417,0.4498656094074249 0.7180803418159485 1.1282930374145508 1.5444444417953491 1.8866263628005981 2.3130555152893066 2.7443549633026123 2.366330623626709 1.797639012336731 1.070094108581543 0.6396527886390686 0.45100805163383484,nan 0.5960227251052856 0.8630375862121582 0.7562500238418579 0.44744622707366943 0.4293055534362793 0.7556451559066772 0.6799731254577637 1.0022221803665161 0.7033601999282837 0.5173611044883728 0.614650547504425
Dublin,10.460349082946777 10.44151782989502 9.839919090270996 12.274861335754395 12.343145370483398 12.166528701782227 7.9041666984558105 9.254032135009766 12.752222061157227 11.648924827575684 9.842222213745117 10.516129493713379,3.9294354915618896 4.852827548980713 4.817204475402832 7.917639255523682 8.121909141540527 9.083333015441895 4.779704570770264 5.488306522369385 7.873610973358154 6.022580146789551 3.646250009536743 4.022042751312256,137.125 142.4642791748047 137.31048583984375 137.73333740234375 124.93144989013672 125.19444274902344 130.53897094726562 154.10079956054688 184.06666564941406 181.752685546875 167.30694580078125 162.86021423339844,13.620901107788086 12.045907974243164 12.210752487182617 12.421527862548828 13.709005355834961 12.373611450195312 6.808467864990234 9.268280029296875 15.55555534362793 15.720832824707031 13.176250457763672 10.70053768157959,1.8827284574508667 1.674181580543518 1.719489336013794 2.082777738571167 2.040457010269165 2.04319429397583 0.6889784336090088 1.038037657737732 1.847499966621399 2.101344108581543 1.6365278959274292 1.4907257556915283,57.380374908447266 68.32887268066406 69.34005737304688 68.81666564941406 61.04973220825195 64.6513900756836 48.59005355834961 51.780914306640625 51.46527862548828 47.13306427001953 50.96666717529297 58.415321350097656,0.0 0.2038690447807312 0.0 0.15416666865348816 0.0 0.03611111268401146 0.038978494703769684 0.04301075264811516 1.0263888835906982 1.8602150678634644 0.06111111119389534 0.005376344081014395,0.07056451588869095 0.15520833432674408 0.29616937041282654 0.6047222018241882 1.079637050628662 1.2925000190734863 0.8678091764450073 0.7995967864990234 0.6232638955116272 0.27661290764808655 0.09763889014720917 0.0485215038061142,nan 1.3205492496490479 2.164919376373291 1.8461110591888428 1.0892473459243774 0.7645833492279053 0.892069935798645 1.335618257522583 1.2781944274902344 0.8995967507362366 0.8033333420753479 0.5676075220108032
Gdansk,18.722043991088867 17.71071434020996 17.758333206176758 15.958194732666016 11.004435539245605 10.54847240447998 8.861424446105957 10.984140396118164 17.220417022705078 11.932393074035645 14.92430591583252 17.341398239135742,6.746639728546143 9.396279335021973 9.647714614868164 12.971111297607422 11.806989669799805 13.324167251586914 11.33669376373291 10.43521499633789 11.845000267028809 6.571236610412598 6.475833415985107 8.452688217163086,225.10215759277344 209.0863037109375 199.84005737304688 174.41944885253906 141.47445678710938 136.63888549804688 146.7930145263672 175.9475860595703 217.12916564941406 214.4274139404297 234.9375 240.2957000732422,17.127485275268555 14.676563262939453 15.706585884094238 15.680277824401855 14.877553939819336 16.198055267333984 11.943145751953125 15.14798355102539 18.729860305786133 12.169624328613281 16.42888832092285 13.246101379394531,8.129704475402832 5.526711463928223 5.503360271453857 4.509861469268799 3.8071236610412598 3.4844446182250977 2.522580623626709 3.002150774002075 4.961666584014893 4.002419471740723 5.991805553436279 5.958736419677734,37.05107498168945 53.63541793823242 59.2486572265625 58.223609924316406 62.86693572998047 65.3638916015625 61.934139251708984 63.01612854003906 56.93611145019531 42.17338562011719 34.4375 40.79973220825195,0.3534946143627167 0.032738097012043 0.016129031777381897 0.4097222089767456 0.02016128972172737 0.11944444477558136 0.012096773833036423 0.3360215127468109 1.0763888359069824 0.6827957034111023 0.0 0.0,0.05766129121184349 0.1715029776096344 0.3400537669658661 0.7113195061683655 1.2677419185638428 1.4568055868148804 1.3005375862121582 1.0835349559783936 0.809374988079071 0.2574596703052521 0.08062499761581421 0.04334677383303642,nan 0.621780276298523 1.7619624137878418 1.0327777862548828 0.8450269103050232 0.6887499690055847 0.9297043085098267 1.1056451797485352 1.7200000286102295 0.7639785408973694 0.574305534362793 0.25793012976646423
Seoul,60.06182861328125 52.46607208251953 55.93225860595703 43.98805618286133 45.545162200927734 41.65819549560547 48.163307189941406 42.47257995605469 31.4556941986084 39.38803482055664 30.642778396606445 40.7607536315918,38.80940628051758 34.70089340209961 36.79005432128906 28.74110984802246 30.890995025634766 28.45083236694336 32.10295486450195 28.37714958190918 20.638750076293945 25.410751342773438 19.677499771118164 26.27997398376465,683.2903442382812 580.8511962890625 513.5524291992188 347.2638854980469 384.1626281738281 363.4624938964844 377.44622802734375 386.9059143066406 363.0249938964844 513.8548583984375 494.2472229003906 605.0806274414062,50.68938064575195 51.99940872192383 56.33494567871094 45.44499969482422 53.889923095703125 48.607086181640625 44.26223373413086 44.79865646362305 44.797359466552734 45.051212310791016 34.5765266418457 41.069087982177734,43.11176300048828 34.107887268066406 28.88669204711914 19.81861114501953 20.966264724731445 20.403194427490234 22.86518669128418 21.585887908935547 21.80152702331543 33.3762092590332 35.42416763305664 54.838844299316406,24.45967674255371 29.434524536132812 39.75672149658203 50.337501525878906 57.65322494506836 80.09722137451172 69.6505355834961 55.61021423339844 39.38333511352539 23.86693572998047 27.40833282470703 23.102149963378906,7.079300880432129 1.3630952835083008 4.22580623626709 4.95972204208374 1.6975806951522827 0.9375 2.194892406463623 0.9206989407539368 1.355555534362793 1.6841397285461426 1.7791666984558105 0.6586021780967712,0.34536293148994446 0.5643601417541504 0.832594096660614 1.0872222185134888 1.3717741966247559 1.3995139598846436 1.335551142692566 1.381854772567749 1.1452083587646484 0.8105510473251343 0.42326387763023376 0.2662634551525116,nan nan nan nan nan nan nan nan nan nan nan nan
Varna,15.029300689697266 13.795387268066406 14.03561782836914 12.88208293914795 11.822311401367188 10.663333892822266 10.016531944274902 11.300941467285156 12.717777252197266 14.095832824707031 9.500555038452148 12.494489669799805,7.0143818855285645 7.195089340209961 9.286290168762207 9.05888843536377 9.180913925170898 10.105000495910645 10.3025541305542 7.820026874542236 8.281110763549805 8.040725708007812 4.620139122009277 9.313172340393066,181.60079956054688 176.9732208251953 173.00807189941406 155.01527404785156 140.3790283203125 135.05555725097656 148.7983856201172 160.51478576660156 167.1236114501953 178.48387145996094 186.59445190429688 208.77957153320312,5.788441181182861 4.2979912757873535 4.99462366104126 3.461111068725586 2.6731183528900146 3.4513888359069824 3.5396504402160645 2.9439516067504883 2.609027862548828 5.083064556121826 5.732083320617676 6.438037395477295,2.9098117351531982 2.4793155193328857 2.0387096405029297 1.462499976158142 1.3743278980255127 1.024583339691162 1.1380376815795898 1.1926075220108032 1.1399999856948853 2.2372312545776367 2.2293055057525635 2.843414068222046,54.45161437988281 67.375 68.68010711669922 72.55000305175781 77.91129302978516 77.42500305175781 86.80914306640625 88.29435729980469 78.29305267333984 65.89247131347656 53.17361068725586 47.80376434326172,1.1626343727111816 0.9166666865348816 0.6935483813285828 1.6791666746139526 0.6680107712745667 1.1888889074325562 1.2419354915618896 0.9704301357269287 2.5722222328186035 4.314516067504883 0.6402778029441833 0.3104838728904724,0.18225806951522827 0.3773065507411957 0.5805107355117798 0.8811805844306946 1.4554435014724731 1.7800694704055786 2.0735886096954346 1.8272849321365356 1.2400000095367432 0.7141128778457642 0.30618053674697876 0.19267474114894867,nan 1.283901572227478 1.726344108581543 1.4994443655014038 0.4073924720287323 0.7293055057525635 0.9208332896232605 0.7696236371994019 0.5556944608688354 0.9823924899101257 0.8156944513320923 0.6346774101257324
Izmir,36.35820007324219 26.177974700927734 31.783063888549805 25.45194435119629 26.77069854736328 21.995277404785156 19.539247512817383 24.786155700683594 24.376665115356445 32.275672912597656 24.793333053588867 30.08051109313965,22.02540397644043 17.702083587646484 15.399059295654297 10.904444694519043 15.064382553100586 13.325278282165527 13.024596214294434 15.84865665435791 13.121110916137695 16.00067138671875 12.745277404785156 20.257526397705078,284.0860290527344 237.12350463867188 223.40725708007812 191.0736083984375 183.4529571533203 165.06666564941406 159.377685546875 185.72579956054688 191.8638916015625 226.4959716796875 221.5 255.99058532714844,34.27876281738281 29.22879409790039 28.26787757873535 26.90541648864746 29.641801834106445 25.124860763549805 18.914649963378906 25.691265106201172 26.145557403564453 32.24946212768555 29.739721298217773 33.3990592956543,34.27695083618164 23.686384201049805 24.104839324951172 21.34666633605957 21.878629684448242 17.283472061157227 11.657930374145508 17.294221878051758 17.261110305786133 25.474462509155273 22.12305450439453 26.195697784423828,33.602149963378906 49.3125 52.75 60.030555725097656 53.00672149658203 63.17916488647461 79.46640014648438 75.28897857666016 62.377777099609375 45.51881790161133 40.07083511352539 27.043010711669922,0.9838709831237793 0.9226190447807312 2.9502687454223633 1.8152778148651123 3.9099462032318115 1.793055534362793 3.5040323734283447 1.9879032373428345 3.174999952316284 5.190860271453857 2.42638897895813 1.0604838132858276,0.3257392644882202 0.5992559790611267 0.8738575577735901 1.196874976158142 1.5398521423339844 1.936597228050232 2.548588752746582 2.118682861328125 1.493680477142334 0.9495295882225037 0.42354169487953186 0.307190865278244,nan 1.0178030729293823 1.1190860271453857 1.2699999809265137 1.264381766319275 1.386388897895813 1.7013441324234009 1.9614248275756836 2.1829166412353516 1.9634408950805664 1.1455554962158203 1.1047043800354004
Durban,26.048925399780273 22.17202377319336 23.771772384643555 27.62735939025879 27.486291885375977 30.81305694580078 28.068952560424805 23.802419662475586 26.76972198486328 24.165727615356445 25.582639694213867 23.401748657226562,14.947311401367188 12.855802536010742 13.733870506286621 16.809860229492188 16.658735275268555 18.983470916748047 16.523252487182617 13.076746940612793 15.085278511047363 13.17405891418457 14.484444618225098 12.752419471740723,116.1021499633789 113.58928680419922 104.32929992675781 155.50416564941406 163.61558532714844 202.58749389648438 289.627685546875 154.7903289794922 170.63194274902344 116.19355010986328 141.77638244628906 103.04166412353516,2.257795810699463 2.4042410850524902 2.1137096881866455 3.5341668128967285 3.754166841506958 4.481389045715332 7.1541666984558105 3.9397847652435303 3.749305486679077 2.3520162105560303 3.553194522857666 2.225403070449829,5.299731254577637 4.857663631439209 4.139784812927246 6.297916889190674 6.147580146789551 6.960972309112549 7.422849655151367 3.825672149658203 4.16652774810791 2.8178763389587402 4.748055458068848 2.9205644130706787,49.1236572265625 50.25297546386719 52.9879035949707 64.99166870117188 65.28359985351562 70.30278015136719 71.3965072631836 68.55242156982422 76.04861450195312 69.09140014648438 64.59305572509766 53.34677505493164,0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.016129031777381897 0.0 0.0 0.0 0.0,2.706787586212158 2.174107074737549 1.823319911956787 1.2927082777023315 0.7313171625137329 0.6129166483879089 0.6288978457450867 0.9323924779891968 1.3531944751739502 1.6636425256729126 2.21708345413208 2.251612901687622,nan nan nan nan nan nan nan nan nan nan nan nan
Montevideo,11.633870124816895 13.731398582458496 11.77755355834961 11.740694046020508 12.770027160644531 17.278472900390625 11.31088638305664 10.88924789428711 13.788056373596191 10.011021614074707 10.26319408416748 12.043548583984375,7.482929706573486 8.61860179901123 7.478494644165039 7.262916564941406 8.179570198059082 11.451250076293945 6.912634372711182 6.842741966247559 8.394722938537598 6.109812259674072 6.35402774810791 7.203226089477539,117.05914306640625 121.52381134033203 125.79704284667969 121.43055725097656 145.27957153320312 187.65554809570312 151.06317138671875 179.31719970703125 149.18472290039062 141.41128540039062 152.2708282470703 136.6747283935547,3.4545698165893555 4.000669479370117 3.5298385620117188 6.025138854980469 7.499865531921387 9.13972282409668 5.31290340423584 6.970026969909668 5.120972156524658 4.433467864990234 4.830694675445557 3.784274101257324,5.713911056518555 5.55282735824585 4.230241775512695 4.917500019073486 5.554032325744629 6.202499866485596 2.7271504402160645 3.212768793106079 2.3916666507720947 2.2556450366973877 2.377500057220459 2.00268816947937,47.254032135009766 50.59375 51.75940704345703 43.094444274902344 40.53494644165039 35.08611297607422 45.587364196777344 45.872310638427734 52.34166717529297 53.20698928833008 49.44166564941406 49.27553939819336,0.0 0.0 0.0 0.0 0.0 0.013888888992369175 0.03360215201973915 0.06317204236984253 0.09166666865348816 0.04838709533214569 0.22638888657093048 0.19758065044879913,2.913105010986328 2.260193347930908 1.7417337894439697 0.9922916889190674 0.5620967745780945 0.3643749952316284 0.4086693525314331 0.7092069983482361 0.992152750492096 1.6911962032318115 2.4035418033599854 2.5240590572357178,nan nan nan nan nan nan nan nan nan nan nan nan
Hyderabad,59.717071533203125 54.60684585571289 48.42526626586914 48.30319595336914 43.3243293762207 27.166248321533203 12.034005165100098 31.303495407104492 27.533472061157227 66.3579330444336 52.576663970947266 60.509544372558594,40.44179916381836 37.62157440185547 33.0493278503418 32.91291809082031 29.045564651489258 16.31736183166504 6.866532325744629 15.606585502624512 17.60041618347168 40.45497131347656 33.15791702270508 39.333065032958984,541.9879150390625 515.858642578125 495.3817138671875 526.0610961914062 461.2177429199219 252.05694580078125 160.01881408691406 220.1733856201172 267.2805480957031 471.6317138671875 408.95556640625 461.8938293457031,21.31552505493164 19.631473541259766 18.509275436401367 20.82319450378418 20.98817253112793 12.13194465637207 6.390860080718994 9.482795715332031 10.328194618225098 18.79018783569336 12.005139350891113 13.277284622192383,11.801277160644531 16.972097396850586 9.0252685546875 8.62944507598877 8.443817138671875 5.14888858795166 3.8458333015441895 4.971774101257324 5.740417003631592 11.987231254577637 10.224583625793457 13.951343536376953,94.08870697021484 110.3139877319336 100.8508071899414 98.81388854980469 94.42204284667969 67.0361099243164 45.64516067504883 50.3857536315918 58.1694450378418 92.0994644165039 86.94027709960938 91.01612854003906,0.36021506786346436 0.4955357015132904 0.8454301357269287 1.6791666746139526 3.381720542907715 9.726388931274414 6.681451797485352 25.7567195892334 6.972222328186035 9.229838371276855 0.8416666388511658 0.40591397881507874,1.4781585931777954 2.02150297164917 2.050537586212158 2.0482637882232666 2.0752687454223633 2.191527843475342 1.4674731492996216 1.9176074266433716 1.5481250286102295 1.756250023841858 1.3775694370269775 1.334274172782898,nan nan nan nan nan nan nan nan nan nan nan nan
Warsaw,28.73965072631836 29.91131019592285 29.110483169555664 20.762083053588867 11.812231063842773 13.043055534362793 11.561827659606934 16.159677505493164 21.863332748413086 20.661962509155273 24.04972267150879 29.875940322875977,9.984273910522461 12.2380952835083 13.06478500366211 13.131250381469727 12.45040225982666 16.089027404785156 13.580242156982422 12.807123184204102 12.126388549804688 9.266666412353516 7.835000038146973 15.02311897277832,306.07659912109375 291.6964416503906 273.3911437988281 217.77915954589844 158.4153289794922 162.66250610351562 169.93682861328125 204.9207000732422 251.16944885253906 262.32525634765625 292.772216796875 308.9112854003906,19.662567138671875 19.17165184020996 18.961828231811523 11.024166107177734 7.724059581756592 9.522777557373047 9.144220352172852 12.079569816589355 15.207917213439941 14.919757843017578 18.170000076293945 17.649059295654297,15.196639060974121 13.922471046447754 12.777688026428223 7.9811110496521 5.150806427001953 5.277222156524658 4.4329304695129395 5.663171768188477 8.505416870117188 8.854972839355469 11.430277824401855 11.8836030960083,30.80510711669922 44.66071319580078 53.14112854003906 58.198612213134766 68.31451416015625 69.49722290039062 71.15859985351562 70.13306427001953 60.36666488647461 40.228492736816406 32.36944580078125 33.754032135009766,0.41263440251350403 0.02678571455180645 0.045698925852775574 0.5930555462837219 0.11962365359067917 0.31388887763023376 0.09677419066429138 0.8118279576301575 1.3972222805023193 1.0981183052062988 0.0 0.0,0.05692204460501671 0.17157737910747528 0.37150537967681885 0.6831944584846497 1.1784274578094482 1.3473610877990723 1.3610215187072754 1.2248655557632446 0.8710417151451111 0.29018816351890564 0.10381944477558136 0.05073924735188484,nan 1.3458333015441895 3.1993279457092285 2.59208345413208 1.4181451797485352 1.508055567741394 1.6826612949371338 2.0155913829803467 2.624861240386963 1.353763461112976 0.9480555057525635 0.3938172161579132
